video_id,uploader,views,rating
VgHHFa5uaJQ,fluffychickeny,11268.0,1.73
VhHf5hIMtCU,RetartedKuriboh,25042.0,1.78
Vh_g9cg7l6I,vinbell,13265.0,2.83
Vi64nnZc-3c,MateuszJagocha,10300.0,2.83
VjinZJEZYaI,CavemanIEWC,17376.0,2.86
Vk084ULrMnQ,New4Fan,69133.0,0.0
VlT4qz71x1Q,koopatroopa64,24695.0,2.73
Vl_wy8M_Ido,RcColanator,31680.0,2.85
Vn3DbNjZ05I,morihiro04242002,28056.0,2.62
VnY74cBiWQE,tato69,12046.0,2.91
Vna7eFCpdh8,rjb9799,20150.0,2.65
VndoPa58gLQ,pimimi,15469.0,0.0
Vo7YXBBG0ok,redranger332,21314.0,1.88
VoFOD6qO1J0,kenial,10252.0,2.86
VpedzKlWUS0,boogerdeeunit,130338.0,2.56
VqWxObkk_1w,Uxbridge2009,24237.0,2.1
VrIjDr8zVHI,jimjoke,48374.0,1.93
VuNF338sbOA,glimp7,23016.0,2.43
Vwa_Trc_7_A,JohnnyZ28,12630.0,2.38
VxgTy62Gofg,apatheticoldman,11430.0,1.97
Vy5psB-8tnI,mph,75284.0,2.16
VyCks79k9g0,dealwisl,13244.0,1.5
Vz3eThLlvyY,hivslilbabe,18103.0,2.34
VzvGhSpRhuQ,sdauihkjsd88,16685.0,1.78
W-TGWqzyS8A,busjack,97519.0,1.7
W0XDSYyBXrw,smallsmale,55999.0,1.62
W0iWKz5pjQ8,BUnitScooter,30544.0,1.41
W2CPr1zXqDU,mfmonroe,384183.0,2.58
W36rRywTuuo,DirkVanAss,10298.0,1.43
W5WsRkBz_zU,candirgen,64516.0,2.14
W5ZGfFLL3lI,jarsorn,22279.0,2.18
W84UPutgsDg,38902150336,16637.0,2.33
W8NyA0hlIN8,lonelygirl15,236065.0,2.55
WC2ijbyPMX8,bunther,16401.0,2.64
WCNK9zdI87E,Funnyvincent8,12045.0,2.29
WDyRNlLhwpM,ridor9th,13016.0,2.58
WEsZ3F26cnk,JohnnySka,49904.0,2.91
WF6Hu1NeOHA,godzillagamera,38772.0,2.67
WFz284LbzqY,GangsTaBunNyMareiHa,29118.0,2.28
WH92SCJTIeM,henryalarcon,26851.0,2.34
WHE5qVSBChs,thegman3,11467.0,2.81
WIU-XS2nvf4,bradleyscannons,11635.0,1.46
WJEx_4H2cLY,riggz102,12001.0,2.5
WJLYuAofX3I,alejandrosl73,15764.0,2.11
WJZdVp3vlF4,pontoxp,12476.0,2.25
WK4iqmuYs9M,birdmanJQ008,16516.0,2.93
WLWljml0OWE,lightrail,32882.0,1.55
WM85xqGC03w,americanfamily,114564.0,2.01
WMbfdwVNUgU,Italy88,22921.0,2.08
WMz5flNDfes,mioula,83019.0,0.0
WQen0imzDU0,mathijs213,17321.0,2.38
WSibsQ4wg4M,mick91350,25955.0,2.08
WU7M6cfBwdk,lllbackwardslll,10481.0,0.0
WVbzIrfXtRA,SolidNinjaSnake,10103.0,2.15
WY8Xp7Lqdp4,Alex7doorlockellie,100617.0,1.42
WadbbxPoBlk,angeladarling56,18835.0,2.35
WbaZkhLqMOc,azbycx11,23253.0,2.89
Wcw_pwryERI,papaj48,25152.0,1.84
WeVXNBvvtmo,livinincalifornia,11923.0,2.45
Wel_NN_QOR0,Michael904,13701.0,1.88
Wf8MbSKqOrs,nathanwatts,21915.0,2.48
Whe65cLkIq4,cdfisk,14935.0,2.54
WiC6XA5BA_A,Sbeer12,180122.0,2.62
Wj7j9b9xYuc,1lari,11640.0,2.95
WkNiQGt4MJg,paulhanka,67306.0,2.68
WkRxSSO9g1A,mikelt,23017.0,2.94
WlLvHsu5MlI,djpaulhannon,14325.0,1.61
WmSf7MF3D6I,dubbls,28912.0,1.97
WmrdrhnRr7o,lilpablo817,54357.0,2.77
WnDV-cmz5aw,anna38,11595.0,2.92
Wo1_iTEXvKw,jazdrek,20780.0,1.86
WoIVaF1eDIs,HenryHolt,40835.0,2.89
WpEJ7TNMqf8,dinkyfats,205876.0,2.56
WpQeKwx2V3E,Nixfrei,10249.0,2.5
WpswFdnvef4,manchesterman22,31835.0,1.83
Wq_Bj-av3g0,CEIdotorg,121160.0,1.78
Wqifn4M4l3g,MatinJostar,11561.0,0.0
WqpwX69WbkU,iwantthisname123,13606.0,0.0
Wqr1FVMzNcQ,NoHoGirls,17452.0,2.97
WrTkQnKpZOM,mmatt,12272.0,2.75
Wr_kurYFIcQ,Kanik,11644.0,2.12
Wt0EcmkpBSs,MiniDVFormat,10989.0,0.0
Wt2Ayb-phxo,morningburstcontest,311967.0,2.31
Wt2TlDnUTxQ,chutterhanban,39121.0,1.41
WtUWRwgBoOk,ephesians511,17720.0,0.0
Wtzd941YbbM,Zingabegurl,13996.0,2.27
WwJN_PYMBlo,lonelygirl15,767419.0,2.71
WxprmJPpvWc,ungeziefer,11298.0,2.79
X-a-jv2VZl8,crimsonzebra,13770.0,2.77
X-c8vu_MRik,zigerad,19004.0,2.96
X-vJkg4_KEE,ryanr47,20533.0,2.62
X1R1faOe8t8,bf2142leet,11676.0,2.36
X1fDKllC2m0,Pinkslip91,39437.0,1.66
X2wXnsefz9A,mdk1234,11078.0,1.5
X3ctuFCCF5k,lonelygirl15,456328.0,2.53
X3mV-3Gb_jg,Schlitz,23361.0,2.45
X3pkLeEAjW4,flannelx1,37359.0,2.97
X40pkjv9EdU,nitroy2k,11941.0,1.8
X5m1PMpPcmw,htownaloha,26949.0,2.19
X7OtdtUsFtY,dannyboymed2,163009.0,0.0
X8IBPtVLS34,kendoddsteeth,15607.0,2.78
XBE8BWO-xTg,NFLSuperAd,28162.0,2.57
XBOc7kQG2_Q,tilerea,90044.0,1.96
XB_FnBSSy30,azzurriangel,13224.0,0.0
XCZDfUjTBkk,notgood13,17232.0,2.35
XC_aPTLoZRE,thaevilgenius,42069.0,2.48
XCvAYciPWgA,billypresley,111991.0,2.34
XEZiLlgX3XI,ram0ne,573519.0,2.15
XHEcRihVzkU,mikevids1084,10535.0,2.81
XHJFPb48Zic,smokeyjpad,14244.0,2.79
XHJjvtyNV0s,fotographer,70648.0,2.45
XHw1Fvk97wA,ultrasmoke,12760.0,2.86
XIBNkc8tOAQ,mrmoo2525,14724.0,2.53
XJ87kBN0Nhk,lonelygirl15,902353.0,2.8
XJaGScKpZuU,scenyx,144861.0,2.67
XK2_grXw0Jo,radio1blog,23601.0,2.19
XKqMCSoBWzQ,cassandracox,54155.0,2.69
XO9viQkYLwo,alfst,18381.0,1.44
XOjnkdZBS_4,amyceltic,14393.0,1.89
XPE4JLwXpLk,TheBlueStateDOTcom,179490.0,2.37
XPr-cCXG5g8,amazingworld,18120.0,2.8
XQDZwUrk4e4,Fleaa,10500.0,2.33
XQPH5LEwIys,cownaf,144409.0,1.85
XQQ8UxSg9JU,ladySherri,20064.0,2.2
XQyya7HfsCw,CyberNinja,10788.0,1.45
XRjgatCBDQo,patii14,125195.0,2.5
XRx7wFcmII0,panchobo2,11658.0,2.25
XSI8Q9bbnhA,Skarekrow69,11475.0,1.84
XSje-sBKxQA,matthewsalvo,21550.0,2.03
XUiH56OwTJ8,BADASSbff,85412.0,2.49
XYHmZrP73vY,EricKopecky,15378.0,1.33
X_XqYcv-hko,Whaler1777,53757.0,1.24
X_wTX18Xa_k,bikerock,31649.0,2.14
Xc00vJ7KaXQ,ImHotJJ,13766.0,2.77
XdX2_5RDHhM,andreluisdeamorim,36075.0,2.25
XdYnZVHAg7g,captaincold187,54918.0,2.63
XeC_g5p3G7c,hellgiant666,11985.0,2.89
Xhhh-PDx0T4,ryvius123,11922.0,0.0
Xi9L9o7ZMig,robdanproductions,10124.0,2.85
