video_id,uploader,views,rating
--f0g4gjtJo,tcserson,95552.0,1.55
-0ihAV69Vw0,rockkk12348,34146.0,1.89
-0va5S-hG60,ra1nyday,23739.0,2.65
-1DBU0CoUZY,jayanta,13376.0,2.86
-3E9O_M6UTE,DougShallow,11367.0,2.22
-3bSgn8ko-Y,jackhardy,17130.0,2.83
-41YVHbvhQM,tacvbo,14649.0,2.67
-4y5q31y6XA,rifleman1974,27321.0,2.47
-57RHx9waoM,horu,22746.0,2.49
-5845acZvP4,macuga,11588.0,2.96
-6j_hjaaX3M,asaint77,10586.0,2.91
-75MwpVTwbk,NetaHeart,144728.0,2.16
-8sgqa6sbr8,edge104,14740.0,0.0
-9KiZqyjIr4,mrpregnant,90559.0,1.8
-BTwJ-QPMao,lonelygirl15,686596.0,2.79
-BbXzgyg95M,gigabite79,12157.0,2.5
-CDnCd3ZLhw,Uebasnet,264502.0,2.62
-EsDUb6HlAE,robby2,44165.0,2.45
-GKj2285o5k,qetuoadggjlzcbm,16696.0,1.82
-JLNrIu7kx4,MisterClip,450561.0,2.92
-JevePa56RE,juaneslover,53704.0,0.0
-KRPTGuEETM,NicoleHorrorfest,27078.0,2.84
-KcFEUvrSuI,pgddandan,13648.0,1.73
-Qfdxr4LAzQ,kahayashi,14386.0,2.71
-RZUIoLfZpw,TalentGoldmine,14441.0,2.33
-Sy3Wcfqudg,joshhasthebodyofagod,14852.0,2.52
-T83-qzK9nk,fredbikers,14728.0,2.32
-UEY8Spc0D0,PiMpPiMpStReSs,55683.0,2.87
-VJxkYrMxTg,ken20745,10261.0,2.6
-VrL4f0axOE,CBS,12589.0,2.27
-Wh5fgsJyMY,blackamsel,21323.0,1.47
-Wk-CetQOlM,enjoibaker12,20046.0,2.33
-WkQDs1um68,realmagictv,96005.0,0.0
-YavWhDLnc8,Atreyux311,40808.0,1.35
-_rviQz46AI,z00h00,21515.0,2.96
-b-gvKuuRLg,publictv,15188.0,2.36
-bms8MKVCeA,lancesafley,25459.0,2.92
-bo2zbStHLQ,engsk8,14510.0,1.5
-gjP0tuMQGc,Gravityvag,11272.0,1.73
-gunctYE530,Popscivideo,38225.0,1.59
-iiuTAX2QLc,kitten16,13300.0,1.33
-jbnrcpDTmQ,yoyoman2k1,12776.0,0.0
-kPZmgbHx1k,gryxitl,39480.0,2.27
-kbNMmS8LLQ,brianstreehouse,93001.0,2.29
-l22C0za0u4,EdgeYouth,57254.0,2.33
-lo-zgRxkrc,superfuntime92,23477.0,2.27
-o3jBwYDtaQ,cheerysakura88,37988.0,0.0
-oBTvaZrvso,infonacional,17848.0,2.92
-psYqsaB4Vw,Hayabusa1300GSXR,11620.0,1.88
-qVt-Y2vcwE,wholelottalove48,15212.0,2.28
-rASUGcaolQ,ARMY2101,12314.0,2.36
-rLS1S3syHg,mrinfotek,11398.0,1.67
-rzXQnPhNLI,vh1staff,214156.0,2.61
-sO_32AHA-U,xxlmanxx,51181.0,2.11
-uzGSjl7h_g,duecejoes,55182.0,1.81
-vhxzzbekok,Cozamonkey,12228.0,1.71
-vkD4cTBQ_k,Sati84,13651.0,2.27
-yFPQ6ALXd8,s0beit,13371.0,2.89
-yi_QvWD35I,kelseydawg,13187.0,2.29
-zW4W_es4IM,annergaa,14819.0,2.93
0091YIIoXDk,sancraker,26770.0,2.49
00KbP0g8fVs,Naja2,16836.0,0.0
00c08ijIlHo,latra555,105039.0,2.19
04fu1ihPotk,pelirrojarakel,34556.0,2.07
07GoMVMeAmo,Me300,18220.0,1.95
07uMlsYFaVw,keremadlikon,10129.0,2.09
08FizJsdz5E,JeremyBlue,10525.0,2.88
08Q53LkZlxw,ethniccleansinginc,28134.0,1.57
094eIYDkaPc,csicilia1,10169.0,2.77
0AE7qd61JRU,paisleo,24975.0,2.14
0D2LbJ8sRyM,Piasmaffia,11197.0,2.78
0D4VT8PG0PA,IsamashiiX,37496.0,2.71
0DbzLRny7Bs,FireWaterBurn,22981.0,2.66
