video_id,uploader,views,rating
-0uw2NnIu8I,hatingevery1,15038.0,2.84
-0zkWZDqmUQ,hijodejoseluis,27773.0,2.71
-2feKGUCEDs,Formlessness,10771.0,2.47
-2k9hcFs3ug,sonnengelb01,13756.0,1.8
-3hLPsbUvu4,fmllw,15647.0,1.95
-3viY_67slY,faracom,23661.0,2.45
-4Z_cmtAH8Q,x391,15941.0,2.54
-6Hytt2eAN0,djskitchy33,20156.0,0.0
-BqIZwWpub8,sloppyman83,10208.0,2.85
-DcEjlbDZEw,funnyuk,13359.0,2.89
-DfmON5CYpo,joex90,22738.0,2.41
-E89GCOfSP0,omnimaximusx,34279.0,2.53
-GM9E5qDARQ,garrettc134,20764.0,2.44
-HbON4m5Vcs,qjcus,16748.0,2.07
-JYEP_2_wAI,LeoTheFox,28556.0,2.68
-KF95DX-zcA,EPlichta,12687.0,2.5
-KHYUNvQu1Y,calvino78,14999.0,1.86
-L841eRMaQw,filmjg,40148.0,2.93
-LFWmbQsSzg,Karma9800,24370.0,1.76
-MOLs_03i4w,accesseonline,29423.0,1.88
-MYh-9jfkBI,MasterAlmighty,12958.0,2.65
-M_Kf5VtJ4E,simo14,21252.0,1.29
-Ml03srYsl4,rrv2007,332840.0,2.97
-N2eaJSmwtw,animesynergon,62381.0,2.21
-Npu_h4__HA,JimyTOW,10327.0,1.97
-O-WDJ3NMU4,vlassakos,17252.0,2.87
-O5GK8khzwQ,bigkufan7,18173.0,1.38
-OAKNot1krU,ubugarrity,75349.0,1.88
-OCn3MlJFgg,EmployeeOfTheMonth,385296.0,2.8
-OT9LJbD0ZM,thePranker,80169.0,2.18
-QOWeElACy8,lesbainnaa,34282.0,2.39
-Q__y9WXZyM,GrandHustle413,17272.0,2.16
-RM-e_MD544,eternalsilence2006,15272.0,2.54
-RciB3V1RYY,MGMStudiosInc,439980.0,2.54
-S-CXDHIvVo,lonelygirl15,242956.0,2.9
-S58JBd-rV8,komeguao,20692.0,2.78
-SKBUGYA7wQ,NaomiU,34864.0,2.55
-UaeJjoVs-w,mikeholla,18522.0,2.48
-V9RRYY7GyE,num1dog,10052.0,1.45
-ZSkYfTkdqQ,Pinklayde17,25090.0,2.78
-dWMDB34yRw,bannerboard,18539.0,2.52
-fAh5Rb-v9o,mrpgnt,11031.0,0.0
-frCpDX9oek,elscorcho32,14989.0,2.79
-iIG-FhLR_k,snogintheloo,129658.0,2.03
-jaTqUCXiXU,liaoutlive,14946.0,2.09
-kkeZm_xkBg,xFordxLoverx,51091.0,2.55
-ktapT_KCNk,quiknutz,20387.0,2.27
-lBxkkHWAH4,WikkitJuggalo,21084.0,2.64
-mBqbFaUd2Y,vangelislivanis,27575.0,2.94
-mbeJsu2DJ8,oniramu,11435.0,0.0
-nIlCwa-aRg,casnagreen,90883.0,2.62
-nRK5p9Les0,otterpop827,21603.0,2.48
-oAo_fJyMg8,babura,18768.0,2.91
-pwywPtFtdk,sirenSIRENx,11661.0,2.5
-q-urjtvbnY,axeblade101,10198.0,1.73
-r-EgMYdiZc,corybeal,31295.0,1.74
-tGJpkmDPXY,filipinafighta,12807.0,2.44
-tPS_vob_yc,Chinkk,15440.0,2.21
-tW_nhhAAEU,douchemonger,13489.0,2.39
-w72qjsm5-w,nhoitcr90,20282.0,1.62
-wX-nyOACTA,woutersangels,54893.0,2.91
-wZH_gkjaWE,Heidie1And2,190607.0,2.09
-weTyeVgRbw,SpFamG24,20819.0,2.32
-zYtZFZllJ4,pitbullmario,12390.0,1.2
0-gBGfQSbTc,themidnightpatrol,10756.0,2.77
002K0V5iaAo,Gkan28,10653.0,1.44
037HvQ1TyGM,juanchy87,145137.0,2.71
038BK9ZIFt8,michalish,44339.0,2.7
049CfHyC5yk,Italianrocker,75455.0,2.65
04U71E2DUM8,scottandscott,10516.0,2.67
04pTUz6OiQA,JohnnySka,63289.0,2.2
07sKqIx88ds,kankalar34,10728.0,2.5
08CCn67MpZ4,leafhui,10999.0,2.88
08gUqjM8RZc,sakymns,46336.0,2.81
0BBapAx9qJ8,kewlio1,15981.0,2.58
0BWIpzpUFmk,funnyman222,58117.0,2.76
0F3zEMQyhGo,ultrahard,16435.0,1.59
0FZjJDm3fls,CBS,96465.0,2.29
0G0LlXv-nyI,forkyfork,30564.0,2.19
0HTuc8v7ABY,djmentat,12090.0,2.29
0I3bRDHsZvA,lazyguyxlt,163323.0,1.98
0IunEBsGL0U,Gotahs,22162.0,1.3
0Lo4fMMrrg0,TotalVidInc,18243.0,2.57
0M4zTEf82UY,petitdevilRebirth,34160.0,1.64
0MkUX_zKkGI,philiptarry,15126.0,2.12
0NkQMGqDbDY,pinkmonkey2345,16723.0,1.4
0O0qRes2EHI,disier96,19581.0,1.75
0O7h__7_wnQ,patleee,11762.0,2.12
0Q39qHPgg8M,Nittanynils,14998.0,2.88
0QuDGHa9R14,rapfatal,22060.0,2.35
0Rx28Iq6qH8,lilcutie72,11603.0,2.18
0RxYKNlBej0,IhateVince300,12219.0,2.31
0S990tUZaMc,NoHoGirls,86531.0,2.31
0Sa8ZhCBRsM,adamwtf,28147.0,2.58
0TWs_kxCfHE,japfashionz,12636.0,2.18
0TttZ1JjjTA,ext1812,10468.0,2.37
0V0FAC4UyJ4,SueLukebr,15364.0,1.53
0VvY4KsAmys,smetanasghost,28199.0,1.94
0WXQVldmL6k,mikey2653,20634.0,1.86
0YFfy9lXFGE,rossenamait,27771.0,0.0
0ZvlIadt3AI,LindaParis,11196.0,2.44
0aaLWD7TUSU,RichardB1983,12005.0,2.62
0acNBjJx0q8,dtmcb,10765.0,2.18
0b92bsmF8Mg,sswindall,13599.0,0.0
0bD1fXbuVvI,banane123,20363.0,2.72
0gY4yXaZB08,larisacool1,17740.0,1.52
0iZqkKTWVWQ,videotrove,53229.0,1.86
0m3SXpZK2Xw,endhatefools,1227361.0,2.47
0ocZ3Xlz5Gs,Nesta11,15341.0,2.46
0pEOZkrk6Vw,sayitstruex3,18096.0,2.24
0pIkMWASmPI,CombineFilms,47271.0,2.75
0sf7XTeGZMQ,tsssux,20937.0,1.6
0ujwG6dBrZY,bano0ota,123384.0,2.77
0uzereVlAbU,CricketSoc,29573.0,0.0
0ye_huBqIvI,Suykens666,13217.0,2.46
1-sIzwQOCTY,itsrayght,21630.0,2.87
12W23JGSyjI,TGFILMS,12538.0,2.96
13WeGNYF-ks,warnerbrosrecords,14725.0,2.0
14HU8rNQqEE,c505050,11482.0,0.0
1723k0vlWDU,rockyourd,38127.0,2.4
17fpEqeO3tM,NaomiU,30843.0,1.94
17qIzpf4Atw,bikerock,24630.0,2.12
17w7RTnYvvA,Wildfeather,17403.0,2.0
18w9pjdSCf4,magid1020,22186.0,1.86
1A4MjIGFHVE,spunkeeblondee,18168.0,0.0
1CdDBMFvi3I,smdepot,13088.0,2.56
1DcxqH4ok_0,Drug06,22819.0,2.67
1E4dk6MOg9c,lonelygirl15,296331.0,2.77
1ErCLRvkGNs,DaBoyz12345,19956.0,2.07
1HI8ZlWP7ZY,myloverboy,13330.0,2.0
1II2IpJd5Lc,yarny,42369.0,2.48
1JRytZ9u7wU,wagdawgwag,18083.0,1.93
1LDmVrpbfsQ,TheGuyOverThere,28483.0,2.35
1MR93izotcU,stevenlil619,18015.0,2.36
1MUi0Ri7JB0,kaleigh79,13037.0,2.92
1OO5EhYyN_I,OhioWrestlingNet,15877.0,0.0
1PbuLAr_tyU,sorryyari1423,62595.0,2.77
1QbNAtwWjZE,tylerc123,26905.0,2.93
1Qzy6MDVzdI,mr0scare,198867.0,2.47
1RxHE4PXhzI,tyler1981,25257.0,2.0
1S6vWuarDuE,earb23,12901.0,1.92
1SXUklRQm3c,ThePope10,16231.0,2.53
1UgGr82xQZI,coreydwyer,10842.0,2.29
1W-o4CzxZRM,stabilobr,24239.0,2.96
1X_hpOnoDAQ,smoke489,24510.0,2.21
1YNnbzU7QqI,davob17andahalf,25208.0,1.33
1YR3DbHCX_Y,Me300,21082.0,1.76
1YYefBUD8tM,nanohataso,33271.0,2.64
1Z_Yz4SuW9M,DjRaLiUgA,15437.0,2.62
1_NomYf3EQU,airnuts,27314.0,2.18
1_wFp-q0j5g,ParanormalTruthSquad,40074.0,2.93
1a0UdQVmNAQ,smoof7,18194.0,1.78
1aDiIURvBtY,britjul,11433.0,2.44
1ceBNYM72VA,amorenfotografia,11835.0,2.85
1eptkTylunM,wtc3353,18730.0,2.56
1fKLFzVgINY,ggaites,16306.0,2.45
1gt2XjxMZ1M,video1121,12495.0,2.53
1oSJ7wTef6c,SkippyppikS,10500.0,1.64
1pVZ3smtY5E,crocopcharli,10882.0,1.69
1qSWzBReWLw,shantypoo8996,21497.0,2.13
1quypeB6eqI,digitalfilmmaker,26087.0,2.91
1rdhtrVCO24,Peacemillion,23832.0,0.0
1s_W2j9fVEs,rmschick079,10101.0,2.75
1uRkV1yXk9k,ruhamed,15395.0,2.93
1v15bI10-_Y,GiZmozor,13515.0,2.33
1w5hW5CiQQs,martic1280,21251.0,1.49
1wHA-iQRr_s,antonlash,12089.0,2.92
1xYHngttIbI,lilqtpie76,11209.0,2.22
1xjuT_T9vo8,wilkojunior86,30832.0,2.86
1z7XHHvWE8w,Danielbeast,87192.0,2.86
2-MdcnGhAB0,EngineeredWarsSuck,74091.0,1.96
2-YWI12L5tw,NBC,11308.0,2.55
2-Yx2UKhaTw,bbiggs,22064.0,1.33
2-pSbZxkNM0,WeHoGirls,39402.0,2.17
209zsDFhdg0,CambrianHouse,11620.0,2.5
23SHWtp1Jgc,aljabroner,47073.0,2.76
23f0qVe8dAM,missmcq,28836.0,2.81
24A2vpl_xew,apoessy,31807.0,2.21
25E1OiYDe9o,LyssaLoo,34559.0,2.7
25JOu8FChmM,SportsBabes,36021.0,2.54
25QWMJKJe5s,zachdamaster,19351.0,2.69
25dmUPwfTIA,ryco2002,12101.0,2.33
26MAK6RGpH0,jumper1995,48355.0,1.95
26d56c_ZITc,anwad1,31877.0,1.31
2757ziz_tjY,victoralexandrino,15860.0,2.1
28ZX0SVI0_I,MADDDDDDDDDDDDDDDDDD,20585.0,1.98
28rrIsKULYQ,CBS,10202.0,2.62
295EdFn2wZE,JohnnieTV,72231.0,1.78
2975190Wl8o,rbecerra1,12300.0,2.0
2ABWuk_UR6I,metacumbia,27282.0,0.0
2BEh0nfuNrQ,TMCREW,24039.0,1.9
2BdsEc4JXBs,Mikke787,20217.0,2.95
2Bna9sqEfng,etriviaclubcom,12257.0,1.57
2CFxtdy1bH4,bootylover77,41185.0,2.05
2CL9hrVVtJ0,samuel511,310695.0,2.59
2CwFdN6Gxfk,hapatchan,21730.0,2.33
2DqGjgnrxO0,masterlip,14185.0,2.83
2DxZl9U0vHo,818zsp1d3r,82363.0,1.42
2EdjmB_Dckk,NJDevils950003,11490.0,0.0
2FyCKRSqIqI,doubleaguy19,14036.0,2.83
2HfRUMEQagM,narg123,14175.0,2.9
2IIE9L23eC4,freakingcat,70013.0,2.82
2JRGNXEgWb4,holybear,107148.0,2.79
2KbW8j7ikK4,kamilllosryciakos,15639.0,1.71
2KiG0CGgfrI,lugaluf,43508.0,2.81
2LFxorUI3og,bdfan,30075.0,2.33
2LJvFjsl6zk,JudicialWatch,142967.0,1.76
2LQJSMRYdNI,SauronsEye,48565.0,1.55
2LbceYw5yK4,kobesucksdeeeck,13237.0,2.24
2NEqYY1kYek,lounam,24863.0,2.29
2OEh6Yc56lA,hammradio,21057.0,2.65
2QSdRoJB2kE,arkisto,10237.0,2.69
2R0gham1axQ,willemschra,10575.0,1.61
2RsDS_Ha7Lg,raynardll,13737.0,0.0
2S2w3DdkKL4,sxephil,544101.0,2.66
2TQKSuyskhk,james,47433.0,1.84
2VgNQ8ozP0c,djmarclo,10640.0,2.86
2W0zEYzMEMI,heywoodejablomey,12066.0,1.8
2X4wc8NRt18,kunju1,114800.0,2.94
2XnNsCCp_8U,sebastianthe4th,11012.0,2.95
2XyOirDNKHI,fordmodels,242509.0,1.9
2YGlZmyUs2U,KarmaSatori,19750.0,0.0
2YXpIlh5148,Klasichesz,40534.0,2.93
2_9YsLC9suU,ants50000,40321.0,2.58
2_PnBJVNw4Q,jonwheatley,12202.0,2.71
2_a1yo4jyCM,nikesbrider,11407.0,2.14
2aDxi5FdkbU,HAMOCYDAL,19170.0,2.63
2cDVgz7pNSY,emperortomato,66413.0,1.87
2cWMDOnd2kQ,jacquesb777,24291.0,2.93
2csXiJyh8IY,ForYourConsideration,241137.0,2.5
2fI_YnuNuRU,bustanut234,11680.0,2.25
2g-lDJK3cFU,Csight,11746.0,1.91
2gAlr5rqdCw,fcbarcelona,11539.0,0.0
2hQGpDSU6WE,MizzGoodas,40494.0,0.0
2i1AO8nkhhA,future07js,239173.0,2.84
2i1LgbdwEC0,termoPilucco,12759.0,2.37
2iPXAdGrdOI,princessdippy,37434.0,2.0
2k7wb3ryaC8,Helldin665,11609.0,2.09
